p1_fighter,p2_fighter,p1_KD,p2_KD,p1_SIG_STR,p2_SIG_STR,p1_SIG_STR_PCT,p2_SIG_STR_PCT,p1_TOTAL_STR,p2_TOTAL_STR,p1_TD,p2_TD,p1_TD_PCT,p2_TD_PCT,p1_SUB_ATT,p2_SUB_ATT,p1_REV,p2_REV,p1_CTRL,p2_CTRL,p1_R1_KD,p2_R1_KD,p1_R1_SIG_STR,p2_R1_SIG_STR,p1_R1_SIG_STR_PCT,p2_R1_SIG_STR_PCT,p1_R1_TOTAL_STR,p2_R1_TOTAL_STR,p1_R1_TD,p2_R1_TD,p1_R1_TD_PCT,p2_R1_TD_PCT,p1_R1_SUB_ATT,p2_R1_SUB_ATT,p1_R1_REV,p2_R1_REV,p1_R1_CTRL,p2_R1_CTRL,p1_SIG_STR_LANDED_ATTEMPTED,p2_SIG_STR_LANDED_ATTEMPTED,p1_SIG_STR_PCT_DETAILED,p2_SIG_STR_PCT_DETAILED,p1_HEAD_LANDED_ATTEMPTED,p2_HEAD_LANDED_ATTEMPTED,p1_BODY_LANDED_ATTEMPTED,p2_BODY_LANDED_ATTEMPTED,p1_LEG_LANDED_ATTEMPTED,p2_LEG_LANDED_ATTEMPTED,p1_DISTANCE_LANDED_ATTEMPTED,p2_DISTANCE_LANDED_ATTEMPTED,p1_CLINCH_LANDED_ATTEMPTED,p2_CLINCH_LANDED_ATTEMPTED,p1_GROUND_LANDED_ATTEMPTED,p2_GROUND_LANDED_ATTEMPTED,p1_R1_SIG_STR_LANDED_ATTEMPTED,p2_R1_SIG_STR_LANDED_ATTEMPTED,p1_R1_SIG_STR_PCT_DETAILED,p2_R1_SIG_STR_PCT_DETAILED,p1_R1_HEAD_LANDED_ATTEMPTED,p2_R1_HEAD_LANDED_ATTEMPTED,p1_R1_BODY_LANDED_ATTEMPTED,p2_R1_BODY_LANDED_ATTEMPTED,p1_R1_LEG_LANDED_ATTEMPTED,p2_R1_LEG_LANDED_ATTEMPTED,p1_R1_DISTANCE_LANDED_ATTEMPTED,p2_R1_DISTANCE_LANDED_ATTEMPTED,p1_R1_CLINCH_LANDED_ATTEMPTED,p2_R1_CLINCH_LANDED_ATTEMPTED,p1_R1_GROUND_LANDED_ATTEMPTED,p2_R1_GROUND_LANDED_ATTEMPTED,method,referee,winner,event_date
Sedriques Dumas,Michal Oleksiejczuk,0,1,3 of 26,34 of 57,11%,59%,3 of 26,34 of 59,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:18,0,1,3 of 26,34 of 57,11%,59%,3 of 26,34 of 59,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:18,3 of 26,34 of 57,11%,59%,0 of 18,27 of 49,2 of 5,7 of 8,1 of 3,0 of 0,3 of 26,13 of 27,0 of 0,0 of 0,0 of 0,21 of 30,3 of 26,34 of 57,11%,59%,0 of 18,27 of 49,2 of 5,7 of 8,1 of 3,0 of 0,3 of 26,13 of 27,0 of 0,0 of 0,0 of 0,21 of 30,KO/TKO,Marc Goddard,0,"April 12, 2025"
Sumudaerji,Mitch Raposo,0,0,45 of 114,9 of 26,39%,34%,78 of 150,13 of 30,0 of 0,6 of 19,---,31%,0,0,0,0,0:00,4:18,0,0,11 of 30,5 of 12,36%,41%,17 of 37,8 of 15,0 of 0,2 of 7,---,28%,0,0,0,0,0:00,1:05,45 of 114,9 of 26,39%,34%,25 of 84,8 of 25,5 of 8,0 of 0,15 of 22,1 of 1,39 of 104,8 of 25,6 of 10,1 of 1,0 of 0,0 of 0,11 of 30,5 of 12,36%,41%,5 of 18,5 of 12,1 of 3,0 of 0,5 of 9,0 of 0,11 of 30,4 of 11,0 of 0,1 of 1,0 of 0,0 of 0,Decision - Split,Andrew Glenn,1,"April 12, 2025"
Tresean Gore,Marco Tulio,0,2,17 of 60,127 of 175,28%,72%,17 of 60,140 of 195,0 of 0,0 of 0,---,---,0,0,0,0,0:06,0:43,0,1,13 of 39,77 of 110,33%,70%,13 of 39,84 of 117,0 of 0,0 of 0,---,---,0,0,0,0,0:06,0:16,17 of 60,127 of 175,28%,72%,10 of 47,74 of 120,3 of 5,40 of 42,4 of 8,13 of 13,17 of 60,118 of 161,0 of 0,4 of 4,0 of 0,5 of 10,13 of 39,77 of 110,33%,70%,10 of 33,45 of 76,1 of 2,25 of 27,2 of 4,7 of 7,13 of 39,72 of 104,0 of 0,4 of 4,0 of 0,1 of 2,KO/TKO,Marc Goddard,0,"April 12, 2025"
Nora Cornolle,Hailey Cowan,0,0,8 of 12,3 of 7,66%,42%,24 of 32,19 of 28,0 of 0,1 of 2,---,50%,1,0,0,0,1:33,4:24,0,0,3 of 5,2 of 3,60%,66%,18 of 23,17 of 23,0 of 0,1 of 1,---,100%,0,0,0,0,0:14,4:24,8 of 12,3 of 7,66%,42%,5 of 9,2 of 6,1 of 1,1 of 1,2 of 2,0 of 0,5 of 9,2 of 6,3 of 3,0 of 0,0 of 0,1 of 1,3 of 5,2 of 3,60%,66%,1 of 3,1 of 2,0 of 0,1 of 1,2 of 2,0 of 0,3 of 5,1 of 2,0 of 0,0 of 0,0 of 0,1 of 1,Submission,Kerry Hatley,1,"April 12, 2025"
Josh Emmett,Lerone Murphy,0,0,41 of 143,84 of 157,28%,53%,44 of 149,117 of 195,4 of 11,0 of 0,36%,---,0,0,0,0,3:39,0:06,0,0,10 of 28,10 of 24,35%,41%,10 of 28,11 of 26,1 of 1,0 of 0,100%,---,0,0,0,0,0:05,0:00,41 of 143,84 of 157,28%,53%,29 of 124,37 of 90,6 of 11,17 of 30,6 of 8,30 of 37,40 of 133,75 of 148,1 of 7,9 of 9,0 of 3,0 of 0,10 of 28,10 of 24,35%,41%,6 of 23,5 of 16,3 of 4,3 of 5,1 of 1,2 of 3,10 of 26,10 of 24,0 of 1,0 of 0,0 of 1,0 of 0,Decision - Unanimous,Jason Herzog,0,"April 05, 2025"
Pat Sabatini,Joanderson Brito,0,0,24 of 31,3 of 9,77%,33%,135 of 158,27 of 46,4 of 5,0 of 0,80%,---,1,1,0,0,13:47,0:00,0,0,12 of 14,1 of 1,85%,100%,22 of 28,10 of 12,2 of 2,0 of 0,100%,---,1,0,0,0,4:43,0:00,24 of 31,3 of 9,77%,33%,22 of 28,2 of 6,2 of 3,1 of 2,0 of 0,0 of 1,2 of 7,3 of 9,1 of 1,0 of 0,21 of 23,0 of 0,12 of 14,1 of 1,85%,100%,12 of 13,0 of 0,0 of 1,1 of 1,0 of 0,0 of 0,0 of 1,1 of 1,1 of 1,0 of 0,11 of 12,0 of 0,Decision - Unanimous,Keith Peterson,1,"April 05, 2025"
Cortavious Romious,ChangHo Lee,0,0,11 of 24,44 of 74,45%,59%,14 of 27,116 of 179,2 of 3,2 of 4,66%,50%,0,1,1,3,2:08,5:38,0,0,5 of 11,8 of 20,45%,40%,8 of 14,61 of 99,1 of 2,1 of 2,50%,50%,0,1,1,2,1:11,3:27,11 of 24,44 of 74,45%,59%,7 of 19,42 of 70,1 of 2,2 of 4,3 of 3,0 of 0,11 of 24,7 of 24,0 of 0,0 of 0,0 of 0,37 of 50,5 of 11,8 of 20,45%,40%,3 of 9,8 of 18,1 of 1,0 of 2,1 of 1,0 of 0,5 of 11,3 of 13,0 of 0,0 of 0,0 of 0,5 of 7,KO/TKO,Chris Tognoni,0,"April 05, 2025"
Brad Tavares,Gerald Meerschaert,0,0,47 of 109,38 of 83,43%,45%,56 of 118,51 of 97,0 of 0,0 of 8,---,0%,0,0,0,0,0:01,4:44,0,0,13 of 36,8 of 24,36%,33%,14 of 37,8 of 24,0 of 0,0 of 2,---,0%,0,0,0,0,0:00,0:26,47 of 109,38 of 83,43%,45%,29 of 85,27 of 66,12 of 18,7 of 10,6 of 6,4 of 7,45 of 105,36 of 79,2 of 4,2 of 4,0 of 0,0 of 0,13 of 36,8 of 24,36%,33%,10 of 30,5 of 19,2 of 5,0 of 1,1 of 1,3 of 4,13 of 36,8 of 23,0 of 0,0 of 1,0 of 0,0 of 0,Decision - Unanimous,Mike Beltran,1,"April 05, 2025"
Ode Osbourne,Luis Gurule,1,0,18 of 43,12 of 34,41%,35%,22 of 50,26 of 49,0 of 0,1 of 4,---,25%,0,0,0,0,0:07,2:17,0,0,5 of 19,7 of 19,26%,36%,5 of 20,21 of 33,0 of 0,1 of 3,---,33%,0,0,0,0,0:00,2:07,18 of 43,12 of 34,41%,35%,11 of 33,3 of 13,6 of 9,0 of 7,1 of 1,9 of 14,14 of 37,11 of 32,0 of 1,1 of 2,4 of 5,0 of 0,5 of 19,7 of 19,26%,36%,1 of 13,1 of 7,3 of 5,0 of 3,1 of 1,6 of 9,5 of 18,7 of 18,0 of 1,0 of 1,0 of 0,0 of 0,KO/TKO,Jason Herzog,1,"April 05, 2025"
Torrez Finney,Robert Valentin,0,0,4 of 8,23 of 39,50%,58%,17 of 35,93 of 126,8 of 17,0 of 0,47%,---,0,0,0,1,13:16,0:16,0,0,0 of 1,6 of 9,0%,66%,7 of 16,15 of 22,5 of 8,0 of 0,62%,---,0,0,0,0,4:34,0:00,4 of 8,23 of 39,50%,58%,2 of 5,18 of 32,2 of 3,4 of 6,0 of 0,1 of 1,1 of 4,5 of 19,0 of 1,12 of 14,3 of 3,6 of 6,0 of 1,6 of 9,0%,66%,0 of 0,6 of 8,0 of 1,0 of 1,0 of 0,0 of 0,0 of 0,0 of 2,0 of 1,4 of 5,0 of 0,2 of 2,Decision - Split,Mike Beltran,1,"April 05, 2025"
Diana Belbita,Dione Barbosa,0,0,20 of 69,27 of 50,28%,54%,23 of 72,35 of 58,0 of 0,1 of 1,---,100%,0,1,0,0,0:00,0:58,0,0,20 of 69,27 of 50,28%,54%,23 of 72,35 of 58,0 of 0,1 of 1,---,100%,0,1,0,0,0:00,0:58,20 of 69,27 of 50,28%,54%,6 of 43,23 of 46,6 of 17,2 of 2,8 of 9,2 of 2,20 of 69,25 of 48,0 of 0,2 of 2,0 of 0,0 of 0,20 of 69,27 of 50,28%,54%,6 of 43,23 of 46,6 of 17,2 of 2,8 of 9,2 of 2,20 of 69,25 of 48,0 of 0,2 of 2,0 of 0,0 of 0,Submission,Keith Peterson,0,"April 05, 2025"
Rhys McKee,Daniel Frunza,3,0,43 of 111,43 of 117,38%,36%,59 of 133,50 of 124,0 of 0,0 of 0,---,---,0,0,0,0,1:10,0:00,3,0,43 of 111,43 of 117,38%,36%,59 of 133,50 of 124,0 of 0,0 of 0,---,---,0,0,0,0,1:10,0:00,43 of 111,43 of 117,38%,36%,33 of 99,31 of 98,6 of 8,3 of 9,4 of 4,9 of 10,38 of 101,37 of 107,3 of 8,6 of 10,2 of 2,0 of 0,43 of 111,43 of 117,38%,36%,33 of 99,31 of 98,6 of 8,3 of 9,4 of 4,9 of 10,38 of 101,37 of 107,3 of 8,6 of 10,2 of 2,0 of 0,TKO - Doctor's Stoppage,Jason Herzog,1,"April 05, 2025"
Loma Lookboonmee,Istela Nunes,0,0,32 of 76,36 of 62,42%,58%,111 of 170,51 of 82,3 of 5,0 of 1,60%,0%,0,0,0,0,4:34,3:15,0,0,15 of 47,22 of 37,31%,59%,26 of 59,27 of 46,0 of 1,0 of 1,0%,0%,0,0,0,0,0:00,1:09,32 of 76,36 of 62,42%,58%,12 of 41,7 of 26,13 of 25,11 of 13,7 of 10,18 of 23,28 of 70,33 of 58,4 of 4,3 of 3,0 of 2,0 of 1,15 of 47,22 of 37,31%,59%,3 of 23,2 of 11,6 of 15,5 of 6,6 of 9,15 of 20,15 of 47,21 of 35,0 of 0,1 of 1,0 of 0,0 of 1,Decision - Unanimous,Chris Tognoni,1,"April 05, 2025"
Victor Henry,Pedro Falcao,1,0,73 of 151,57 of 117,48%,48%,139 of 227,69 of 133,2 of 3,4 of 13,66%,30%,0,0,3,0,4:10,2:58,1,0,22 of 53,20 of 43,41%,46%,50 of 87,26 of 52,1 of 1,0 of 3,100%,0%,0,0,0,0,1:38,0:36,73 of 151,57 of 117,48%,48%,44 of 115,34 of 91,21 of 27,11 of 13,8 of 9,12 of 13,57 of 127,55 of 114,9 of 14,2 of 3,7 of 10,0 of 0,22 of 53,20 of 43,41%,46%,13 of 44,12 of 34,6 of 6,3 of 4,3 of 3,5 of 5,15 of 44,20 of 43,2 of 2,0 of 0,5 of 7,0 of 0,Decision - Unanimous,Keith Peterson,1,"April 05, 2025"
Martin Buday,Uran Satybaldiev,0,0,58 of 107,36 of 141,54%,25%,142 of 211,45 of 154,0 of 1,0 of 2,0%,0%,0,0,0,0,5:06,0:20,0,0,17 of 39,14 of 51,43%,27%,41 of 69,16 of 54,0 of 0,0 of 0,---,---,0,0,0,0,1:10,0:00,58 of 107,36 of 141,54%,25%,29 of 72,19 of 120,3 of 4,6 of 6,26 of 31,11 of 15,49 of 93,32 of 137,9 of 14,4 of 4,0 of 0,0 of 0,17 of 39,14 of 51,43%,27%,7 of 26,6 of 39,0 of 0,2 of 2,10 of 13,6 of 10,17 of 39,13 of 50,0 of 0,1 of 1,0 of 0,0 of 0,Decision - Unanimous,Mike Beltran,1,"April 05, 2025"
Vanessa Demopoulos,Talita Alencar,0,0,10 of 34,45 of 75,29%,60%,34 of 63,107 of 150,0 of 0,4 of 5,---,80%,0,1,0,0,0:02,12:38,0,0,4 of 7,9 of 17,57%,52%,7 of 10,19 of 31,0 of 0,1 of 1,---,100%,0,1,0,0,0:02,4:25,10 of 34,45 of 75,29%,60%,9 of 31,39 of 67,1 of 3,4 of 4,0 of 0,2 of 4,9 of 33,13 of 39,0 of 0,1 of 1,1 of 1,31 of 35,4 of 7,9 of 17,57%,52%,4 of 7,7 of 15,0 of 0,1 of 1,0 of 0,1 of 1,4 of 7,3 of 11,0 of 0,1 of 1,0 of 0,5 of 5,Decision - Unanimous,Chris Tognoni,0,"April 05, 2025"
Brandon Moreno,Steve Erceg,0,0,89 of 176,116 of 279,50%,41%,95 of 182,119 of 282,1 of 5,0 of 0,20%,---,0,0,0,0,1:25,0:00,0,0,21 of 40,25 of 68,52%,36%,21 of 40,25 of 68,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,89 of 176,116 of 279,50%,41%,59 of 138,90 of 237,18 of 25,11 of 24,12 of 13,15 of 18,87 of 174,115 of 278,2 of 2,1 of 1,0 of 0,0 of 0,21 of 40,25 of 68,52%,36%,14 of 33,18 of 57,6 of 6,1 of 4,1 of 1,6 of 7,21 of 40,25 of 68,0 of 0,0 of 0,0 of 0,0 of 0,Decision - Unanimous,Herb Dean,1,"March 29, 2025"
Manuel Torres,Drew Dober,1,0,23 of 25,3 of 9,92%,33%,23 of 25,3 of 9,0 of 0,0 of 0,---,---,0,0,0,0,0:10,0:00,1,0,23 of 25,3 of 9,92%,33%,23 of 25,3 of 9,0 of 0,0 of 0,---,---,0,0,0,0,0:10,0:00,23 of 25,3 of 9,92%,33%,21 of 23,2 of 5,2 of 2,0 of 3,0 of 0,1 of 1,7 of 9,3 of 9,0 of 0,0 of 0,16 of 16,0 of 0,23 of 25,3 of 9,92%,33%,21 of 23,2 of 5,2 of 2,0 of 3,0 of 0,1 of 1,7 of 9,3 of 9,0 of 0,0 of 0,16 of 16,0 of 0,KO/TKO,Mike Beltran,1,"March 29, 2025"
Edgar Chairez,CJ Vergara,0,0,8 of 27,6 of 13,29%,46%,8 of 27,6 of 13,0 of 0,0 of 0,---,---,1,0,0,0,0:16,0:00,0,0,8 of 27,6 of 13,29%,46%,8 of 27,6 of 13,0 of 0,0 of 0,---,---,1,0,0,0,0:16,0:00,8 of 27,6 of 13,29%,46%,8 of 25,1 of 2,0 of 0,0 of 3,0 of 2,5 of 8,7 of 25,6 of 13,1 of 1,0 of 0,0 of 1,0 of 0,8 of 27,6 of 13,29%,46%,8 of 25,1 of 2,0 of 0,0 of 3,0 of 2,5 of 8,7 of 25,6 of 13,1 of 1,0 of 0,0 of 1,0 of 0,Submission,Marc Goddard,1,"March 29, 2025"
Raul Rosas Jr.,Vince Morales,0,0,20 of 39,17 of 31,51%,54%,26 of 46,39 of 53,4 of 8,1 of 1,50%,100%,0,2,0,0,9:38,2:14,0,0,11 of 18,0 of 4,61%,0%,15 of 22,8 of 12,1 of 3,1 of 1,33%,100%,0,0,0,0,3:33,0:36,20 of 39,17 of 31,51%,54%,12 of 30,15 of 28,5 of 5,2 of 3,3 of 4,0 of 0,16 of 34,16 of 30,0 of 0,0 of 0,4 of 5,1 of 1,11 of 18,0 of 4,61%,0%,6 of 12,0 of 4,4 of 4,0 of 0,1 of 2,0 of 0,7 of 14,0 of 4,0 of 0,0 of 0,4 of 4,0 of 0,Decision - Unanimous,Mike Beltran,1,"March 29, 2025"
David Martinez,Saimon Oliveira,1,0,27 of 41,7 of 24,65%,29%,28 of 42,7 of 24,0 of 1,0 of 0,0%,---,0,0,0,0,0:42,0:00,1,0,27 of 41,7 of 24,65%,29%,28 of 42,7 of 24,0 of 1,0 of 0,0%,---,0,0,0,0,0:42,0:00,27 of 41,7 of 24,65%,29%,21 of 34,3 of 17,1 of 2,3 of 4,5 of 5,1 of 3,14 of 25,7 of 23,5 of 5,0 of 1,8 of 11,0 of 0,27 of 41,7 of 24,65%,29%,21 of 34,3 of 17,1 of 2,3 of 4,5 of 5,1 of 3,14 of 25,7 of 23,5 of 5,0 of 1,8 of 11,0 of 0,KO/TKO,Marc Goddard,1,"March 29, 2025"
Ronaldo Rodriguez,Kevin Borjas,0,1,64 of 151,83 of 141,42%,58%,64 of 151,84 of 142,1 of 5,0 of 0,20%,---,0,0,0,0,0:57,0:00,0,1,10 of 25,17 of 31,40%,54%,10 of 25,18 of 32,1 of 3,0 of 0,33%,---,0,0,0,0,0:43,0:00,64 of 151,83 of 141,42%,58%,31 of 110,72 of 129,11 of 16,6 of 7,22 of 25,5 of 5,63 of 149,78 of 135,1 of 2,3 of 4,0 of 0,2 of 2,10 of 25,17 of 31,40%,54%,4 of 16,13 of 27,2 of 3,2 of 2,4 of 6,2 of 2,10 of 25,14 of 28,0 of 0,1 of 1,0 of 0,2 of 2,Decision - Unanimous,Herb Dean,0,"March 29, 2025"
Jose Daniel Medina,Ateba Gautier,0,1,17 of 33,28 of 50,51%,56%,17 of 33,28 of 50,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,0,1,17 of 33,28 of 50,51%,56%,17 of 33,28 of 50,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,17 of 33,28 of 50,51%,56%,6 of 21,24 of 43,6 of 7,3 of 6,5 of 5,1 of 1,17 of 33,26 of 48,0 of 0,2 of 2,0 of 0,0 of 0,17 of 33,28 of 50,51%,56%,6 of 21,24 of 43,6 of 7,3 of 6,5 of 5,1 of 1,17 of 33,26 of 48,0 of 0,2 of 2,0 of 0,0 of 0,KO/TKO,Raul Porrata,0,"March 29, 2025"
Christian Rodriguez,Melquizael Costa,0,0,64 of 98,65 of 105,65%,61%,77 of 113,159 of 208,6 of 15,1 of 2,40%,50%,1,1,1,3,6:48,4:53,0,0,11 of 14,22 of 32,78%,68%,12 of 15,63 of 73,1 of 5,0 of 1,20%,0%,1,0,0,1,2:07,2:12,64 of 98,65 of 105,65%,61%,36 of 69,39 of 72,23 of 24,19 of 25,5 of 5,7 of 8,29 of 53,19 of 47,26 of 31,17 of 23,9 of 14,29 of 35,11 of 14,22 of 32,78%,68%,3 of 5,5 of 11,8 of 9,15 of 19,0 of 0,2 of 2,2 of 3,4 of 9,9 of 11,8 of 12,0 of 0,10 of 11,Decision - Unanimous,Fernando Salas Navarro,0,"March 29, 2025"
Loopy Godinez,Julia Polastri,0,0,84 of 150,87 of 151,56%,57%,114 of 184,117 of 186,5 of 11,0 of 0,45%,---,0,0,0,0,7:30,0:19,0,0,11 of 22,14 of 25,50%,56%,26 of 38,24 of 36,2 of 2,0 of 0,100%,---,0,0,0,0,3:26,0:00,84 of 150,87 of 151,56%,57%,71 of 135,58 of 112,9 of 11,14 of 23,4 of 4,15 of 16,75 of 141,78 of 135,7 of 7,4 of 4,2 of 2,5 of 12,11 of 22,14 of 25,50%,56%,8 of 19,4 of 11,1 of 1,5 of 9,2 of 2,5 of 5,11 of 22,13 of 20,0 of 0,0 of 0,0 of 0,1 of 5,Decision - Unanimous,Horacio Lopez Villanueva,1,"March 29, 2025"
Rafa Garcia,Vinc Pichel,0,0,64 of 120,79 of 182,53%,43%,76 of 136,88 of 191,2 of 6,0 of 3,33%,0%,0,0,0,0,2:15,0:01,0,0,12 of 24,13 of 38,50%,34%,19 of 33,21 of 46,1 of 2,0 of 0,50%,---,0,0,0,0,1:06,0:00,64 of 120,79 of 182,53%,43%,49 of 102,32 of 116,12 of 14,27 of 43,3 of 4,20 of 23,59 of 114,74 of 174,4 of 5,4 of 7,1 of 1,1 of 1,12 of 24,13 of 38,50%,34%,7 of 17,7 of 30,3 of 4,2 of 3,2 of 3,4 of 5,11 of 23,12 of 36,1 of 1,0 of 1,0 of 0,1 of 1,Decision - Unanimous,Raul Porrata,1,"March 29, 2025"
Jamall Emmers,Gabriel Miranda,2,0,33 of 54,18 of 35,61%,51%,35 of 56,20 of 37,0 of 0,2 of 4,---,50%,0,1,1,0,0:49,1:25,2,0,33 of 54,18 of 35,61%,51%,35 of 56,20 of 37,0 of 0,2 of 4,---,50%,0,1,1,0,0:49,1:25,33 of 54,18 of 35,61%,51%,24 of 45,10 of 24,7 of 7,5 of 7,2 of 2,3 of 4,26 of 47,16 of 32,3 of 3,2 of 3,4 of 4,0 of 0,33 of 54,18 of 35,61%,51%,24 of 45,10 of 24,7 of 7,5 of 7,2 of 2,3 of 4,26 of 47,16 of 32,3 of 3,2 of 3,4 of 4,0 of 0,KO/TKO,Fernando Salas Navarro,1,"March 29, 2025"
MarQuel Mederos,Austin Hubbard,0,0,44 of 68,26 of 65,64%,40%,57 of 81,62 of 121,0 of 1,2 of 9,0%,22%,0,1,1,0,1:33,7:34,0,0,23 of 35,17 of 39,65%,43%,23 of 35,19 of 41,0 of 0,0 of 3,---,0%,0,0,0,0,0:00,0:50,44 of 68,26 of 65,64%,40%,21 of 41,16 of 51,7 of 7,6 of 9,16 of 20,4 of 5,32 of 55,22 of 60,4 of 4,3 of 3,8 of 9,1 of 2,23 of 35,17 of 39,65%,43%,9 of 19,10 of 28,4 of 4,4 of 7,10 of 12,3 of 4,21 of 33,15 of 37,2 of 2,2 of 2,0 of 0,0 of 0,Decision - Split,Horacio Lopez Villanueva,1,"March 29, 2025"
Leon Edwards,Sean Brady,0,0,23 of 35,57 of 93,65%,61%,23 of 35,221 of 295,0 of 1,5 of 7,0%,71%,0,1,0,0,0:15,11:10,0,0,20 of 29,19 of 39,68%,48%,20 of 29,47 of 69,0 of 0,1 of 1,---,100%,0,0,0,0,0:15,0:54,23 of 35,57 of 93,65%,61%,10 of 21,44 of 76,11 of 12,8 of 9,2 of 2,5 of 8,11 of 23,19 of 53,12 of 12,7 of 7,0 of 0,31 of 33,20 of 29,19 of 39,68%,48%,8 of 16,10 of 27,11 of 12,6 of 6,1 of 1,3 of 6,8 of 17,13 of 33,12 of 12,6 of 6,0 of 0,0 of 0,Submission,Jason Herzog,0,"March 22, 2025"
Jan Blachowicz,Carlos Ulberg,0,0,59 of 131,75 of 157,45%,47%,59 of 131,75 of 157,0 of 1,0 of 1,0%,0%,0,0,0,0,0:00,0:08,0,0,18 of 31,15 of 32,58%,46%,18 of 31,15 of 32,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,59 of 131,75 of 157,45%,47%,17 of 67,19 of 87,10 of 26,6 of 15,32 of 38,50 of 55,59 of 131,74 of 156,0 of 0,1 of 1,0 of 0,0 of 0,18 of 31,15 of 32,58%,46%,3 of 11,2 of 16,1 of 4,1 of 4,14 of 16,12 of 12,18 of 31,15 of 32,0 of 0,0 of 0,0 of 0,0 of 0,Decision - Unanimous,Marc Goddard,0,"March 22, 2025"
Gunnar Nelson,Kevin Holland,0,1,15 of 24,55 of 89,62%,61%,30 of 44,138 of 178,3 of 10,0 of 1,30%,0%,1,0,0,0,9:29,1:04,0,1,5 of 9,19 of 37,55%,51%,13 of 20,31 of 51,1 of 1,0 of 1,100%,0%,0,0,0,0,2:55,0:08,15 of 24,55 of 89,62%,61%,10 of 19,30 of 57,4 of 4,15 of 20,1 of 1,10 of 12,2 of 7,15 of 34,7 of 8,22 of 27,6 of 9,18 of 28,5 of 9,19 of 37,55%,51%,3 of 7,10 of 24,1 of 1,3 of 5,1 of 1,6 of 8,1 of 4,9 of 20,1 of 1,4 of 4,3 of 4,6 of 13,Decision - Unanimous,Daniel Movahedi,0,"March 22, 2025"
Molly McCann,Alexia Thainara,0,0,9 of 21,11 of 21,42%,52%,14 of 28,17 of 32,0 of 0,1 of 1,---,100%,0,2,0,0,0:00,3:24,0,0,9 of 21,11 of 21,42%,52%,14 of 28,17 of 32,0 of 0,1 of 1,---,100%,0,2,0,0,0:00,3:24,9 of 21,11 of 21,42%,52%,6 of 17,7 of 13,2 of 3,1 of 2,1 of 1,3 of 6,4 of 11,6 of 14,0 of 0,0 of 0,5 of 10,5 of 7,9 of 21,11 of 21,42%,52%,6 of 17,7 of 13,2 of 3,1 of 2,1 of 1,3 of 6,4 of 11,6 of 14,0 of 0,0 of 0,5 of 10,5 of 7,Submission,Lukasz Bosacki,0,"March 22, 2025"
Jordan Vucenic,Chris Duncan,0,1,16 of 26,15 of 40,61%,37%,22 of 32,24 of 50,1 of 2,4 of 5,50%,80%,0,1,0,0,0:12,5:37,0,1,1 of 3,9 of 13,33%,69%,4 of 6,16 of 21,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,3:55,16 of 26,15 of 40,61%,37%,13 of 21,9 of 31,1 of 1,5 of 5,2 of 4,1 of 4,12 of 22,8 of 30,2 of 2,1 of 2,2 of 2,6 of 8,1 of 3,9 of 13,33%,69%,1 of 1,5 of 7,0 of 0,4 of 4,0 of 2,0 of 2,1 of 3,3 of 5,0 of 0,0 of 0,0 of 0,6 of 8,Submission,Jason Herzog,0,"March 22, 2025"
Nathaniel Wood,Morgan Charriere,1,0,72 of 119,42 of 94,60%,44%,89 of 136,69 of 125,0 of 0,1 of 3,---,33%,1,0,0,1,1:00,3:24,1,0,15 of 26,5 of 10,57%,50%,31 of 42,30 of 39,0 of 0,0 of 0,---,---,0,0,0,1,0:51,2:40,72 of 119,42 of 94,60%,44%,42 of 80,21 of 64,5 of 8,13 of 18,25 of 31,8 of 12,62 of 104,37 of 87,3 of 4,3 of 3,7 of 11,2 of 4,15 of 26,5 of 10,57%,50%,9 of 17,2 of 5,1 of 1,0 of 0,5 of 8,3 of 5,8 of 15,3 of 6,0 of 0,0 of 0,7 of 11,2 of 4,Decision - Unanimous,Marc Goddard,1,"March 22, 2025"
Jai Herbert,Chris Padilla,0,0,38 of 122,39 of 98,31%,39%,59 of 143,88 of 147,0 of 1,0 of 6,0%,0%,0,0,0,0,0:01,3:41,0,0,3 of 16,9 of 24,18%,37%,17 of 30,29 of 44,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:51,38 of 122,39 of 98,31%,39%,19 of 92,20 of 60,10 of 19,6 of 9,9 of 11,13 of 29,37 of 120,35 of 94,1 of 2,4 of 4,0 of 0,0 of 0,3 of 16,9 of 24,18%,37%,0 of 9,3 of 11,1 of 5,1 of 2,2 of 2,5 of 11,3 of 16,9 of 24,0 of 0,0 of 0,0 of 0,0 of 0,Decision - Split,Lukasz Bosacki,0,"March 22, 2025"
